SessionID,Time,ItemID
32010,1396516018.813,214716935
32010,1396516284.075,214716930
62555,1396601538.655,214714732
62555,1396601571.718,214714732
62555,1396601618.182,214612730
62555,1396601796.443,214838375
62555,1396601830.453,214717001
66480,1396829772.843,214826715
66480,1396830517.979,214548785
66480,1396830675.675,214706452
66480,1396830876.641,214548785
66480,1396830912.499,214548785
101925,1396617168.637,214532072
101925,1396617171.415,214532072
101925,1396617225.289,214535621
101925,1396617227.284,214535621
101925,1396617350.914,214821285
101925,1396617351.68,214821285
101925,1396617430.031,214535621
101925,1396617442.087,214535621
101925,1396617460.012,214535621
101925,1396617469.582,214532072
101925,1396617511.567,214826897
101925,1396617513.042,214826897
101925,1396617607.144,214826816
164740,1396831787.038,214826912
164740,1396831843.985,214716120
164740,1396831865.239,214743497
194395,1396392744.203,214718160
194395,1396392765.347,214718220
194395,1396392834.394,214717888
194395,1396392893.691,214832559
194395,1396393053.468,214709792
194395,1396393864.744,214836954
200295,1396746550.559,214684614
200295,1396746617.309,214684612
200295,1396746646.02,214684614
258540,1396436262.098,214839020
258540,1396436400.039,214838953
258540,1396436410.483,214838953
279650,1396771418.622,214832557
279650,1396771435.7,214717888
279650,1396771650.8,214821290
279650,1396771680.645,214821292
279650,1396771761.888,214819760
279650,1396771783.981,214563337
279650,1396771806.851,214684843
279650,1396771843.911,214706462
279650,1396771915.853,214819781
279650,1396772194.081,214800262
300780,1396539012.008,214589128
300780,1396539017.698,214586983
300780,1396539020.94,214840762
300780,1396539024.689,214840762
300780,1396539030.601,214586983
300780,1396539064.529,214586983
300780,1396539073.99,214840762
300780,1396539250.351,214699074
300780,1396539306.646,214581849
300780,1396539341.452,214710986
300780,1396539408.493,214588783
300780,1396539499.737,214588790
300780,1396539683.906,214686926
300780,1396539745.831,214581789
300780,1396539888.68,214580351
300780,1396539919.056,214516142
300780,1396539944.58,214711509
300780,1396540104.566,214705779
300780,1396540139.827,214588828
300780,1396540146.939,214676027
300780,1396540165.819,214546217
307330,1396770257.442,214826955
307330,1396770540.706,214821309
307330,1396770542.36,214821309
307330,1396770644.356,214827024
307330,1396770645.778,214827024
385770,1396435776.703,214833800
385770,1396435880.681,214833800
385770,1396435995.876,214833800
402530,1396313828.393,214826955
402530,1396314102.886,214716971
455815,1396762937.993,214717742
455815,1396762962.417,214743497
447930,1396563209.578,214554510
447930,1396563323.246,214821028
447930,1396563381.516,214821377
537355,1397008721.393,214820240
537355,1397008760.092,214820240
537355,1397008835.408,214826912
637305,1397379315.324,214835917
637305,1397380002.852,214835917
637305,1397380078.343,214835668
637305,1397380084.494,214835917
637305,1397380099.165,214819419
637305,1397380119.873,214811752
637305,1397380141.827,214819419
639345,1397189364.393,214829312
639345,1397189474.998,214685795
639345,1397189517.944,214829312
650930,1396952617.117,214613859
650930,1396952622.099,214613859
659110,1397282528.07,214821305
659110,1397282814.96,214586711
659110,1397283075.031,214612723
686185,1397356837.304,214717250
686185,1397356866.613,214695425
673600,1397286235.441,214612708
673600,1397286409.042,214744796
745890,1397039325.861,214691632
745890,1397039541.182,214838083
745890,1397039648.677,214826810
738990,1397305997.678,214827007
738990,1397306050.349,214827007
738990,1397306142.774,214834865
738990,1397306179.954,214826925
831595,1396956244.335,214684172
831595,1396956268.625,214684333
810885,1397328402.743,214821341
810885,1397328722.337,214551626
810885,1397328819.31,214612721
811005,1397392098.052,214828987
811005,1397392101.777,214828987
811005,1397392144.439,214826912
811005,1397392147.92,214826912
811005,1397392396.359,214563133
811005,1397392398.937,214563133
811005,1397392440.927,214563133
811005,1397392443.464,214563133
863920,1396952560.442,214684513
863920,1396952679.413,214684513
863920,1396952694.727,214684513
922325,1397353581.456,214837485
922325,1397353797.587,214800264
508045,1397375489.942,214840760
508045,1397375646.201,214844203
506480,1397046545.443,214534706
506480,1397046584.569,214534704
506480,1397048491.719,214534704
506480,1397051170.869,214534706
495200,1397121938.183,214662742
495200,1397122101.523,214662742
495200,1397122705.186,214826837
495200,1397122774.334,214826908
495200,1397122841.499,214800262
495200,1397122941.611,214826908
